,GDP
1960,2999.86
1961,3059.16
1962,3236.01
1963,3366.37
1964,3565.31
1965,3818.29
1966,4136.31
1967,4325.96
1968,4684.59
1969,5020
1970,5234.3
1971,5609.38
1972,6094.02
1973,6726.36
1974,7225.69
1975,7801.46
1976,8592.25
1977,9452.58
1978,10564.95
1979,11674.18
1980,12574.79
1981,13976.11
1982,14433.79
1983,15543.89
1984,17121.23
1985,18236.83
1986,19071.23
1987,20038.94
1988,21417.01
1989,22857.15
1990,23888.6
1991,24342.26
1992,25418.99
1993,26387.29
1994,27694.85
1995,28690.88
1996,29967.71
1997,31459.13
1998,32853.67
1999,34515.38
2000,36329.97
2001,37133.62
2002,37997.74
2003,39490.3
2004,41724.64
2005,44123.4
2006,46301.99
2007,48050.23
2008,48570.06
2009,47194.95
2010,48642.63
2011,50024.88
2012,51708.39
2013,53297.39
2014,55153.39
2015,56849.47
2016,57976.63
2017,60047.72
2018,62875.67
2019,65227.96
2020,64465.3
2021,71441.23
2022,78008.69
2023,82586.78
2024,86169.66
2025,90026.52
2026,92266.81
