Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2024",,,,,,,,,,,,,,,
"(Income in 2024 dollars, adjusted using the C-CPI-U (2000-2024) and R-CPI-U-RS (pre-2000). Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>)",,,,,,,,,,,,,,,
"Race and Hispanic Origin of householder
and year1",Number (thousands),Percent distribution,,,,,,,,,,"Median income
(dollars)",,"Mean income
(dollars)",
,,Total,"Under $15,000","$15,000 
to
 $24,999","$25,000 
to
 $34,999","$35,000 
to
 $49,999","$50,000 
to
 $74,999","$75,000 
to
 $99,999","$100,000 
to
 $149,999","$150,000 
to
 $199,999","$200,000 and over",Estimate,Margin of error2 (±),Estimate,Margin of error2 (±)
ALL RACES,,,,,,,,,,,,,,,
2024,"134,800",100,7.1,6.4,6.8,9.9,15.1,12.0,16.7,10.1,16.0,"83,730","1,050","121,000","1,211"
2023,"132,200",100,7.3,6.6,6.8,9.9,15.6,12.0,17.0,9.7,15.0,"82,690",651,"117,500","1,126"
2022,"131,400",100,7.8,6.9,7.4,10.0,15.9,12.0,17.1,9.4,13.6,"79,500","1,031","113,400","1,102"
2021,"131,200",100,7.8,7.2,7.1,9.9,15.2,11.8,16.5,9.5,15.1,"81,270",695,"117,500","1,182"
2020 3,"129,200",100,7.4,7.2,6.8,10.2,15.1,12.1,16.7,9.5,14.9,"81,580","1,056","116,900","1,259"
2019,"128,500",100,7.1,6.7,6.6,10.2,15.3,12.1,17.0,9.7,15.2,"83,260","1,096","118,900","1,263"
2018,"128,600",100,8.0,7.3,7.0,10.8,15.5,12.6,16.6,9.1,13.0,"77,700",850,"110,700","1,104"
2017 4,"127,700",100,7.8,7.4,7.8,10.7,15.2,12.3,16.5,9.1,13.1,"76,710",664,"110,000","1,177"
2017,"127,600",100,7.9,7.5,7.8,10.6,15.0,12.2,16.7,9.5,12.8,"77,000",691,"108,200","1,073"
2016,"126,200",100,8.1,7.5,7.9,10.8,15.6,12.4,16.6,9.0,12.2,"75,380",916,"106,200",985
2015,"125,800",100,8.3,8.1,8.4,11.1,15.4,12.1,16.6,9.0,11.1,"72,790",680,"102,100",854
2014,"124,600",100,9.1,8.5,8.7,11.3,15.9,12.2,15.7,8.5,10.3,"69,060",830,"97,480",944
2013 5,"123,900",100,9.0,8.7,8.5,11.1,15.6,12.5,15.9,8.3,10.4,"69,950","1,404","98,160","1,426"
2013 6,"123,000",100,8.9,9.0,8.4,11.7,16.2,12.7,15.8,8.1,9.2,"67,800",593,"94,820","1,072"
2012,"122,500",100,8.9,8.9,9.0,11.7,16.2,12.7,15.7,8.0,9.0,"67,400",454,"94,170",915
2011,"121,100",100,9.0,8.7,8.7,12.3,16.3,12.2,15.8,7.7,9.2,"67,410",556,"93,840",815
2010 7,"119,900",100,9.0,8.9,8.7,11.6,16.1,12.5,16.0,8.2,9.1,"68,420",742,"93,580",822
2009 8,"117,500",100,8.1,8.2,8.6,12.2,16.5,12.7,16.3,8.2,9.3,"70,070",493,"95,680",563
2008,"117,200",100,8.0,8.3,8.4,12.1,16.3,12.5,16.8,8.3,9.3,"70,520",316,"95,930",558
2007,"116,800",100,7.8,8.5,7.9,11.1,16.6,12.5,17.2,8.8,9.8,"73,010",335,"98,260",564
2006,"116,000",100,7.9,7.9,7.9,11.8,16.9,12.5,16.7,8.6,9.8,"71,850",508,"99,230",630
2005,"114,400",100,8.0,8.6,8.0,11.7,16.1,13.3,16.4,8.6,9.3,"71,060",391,"97,160",603
2004 9,"113,300",100,8.1,8.7,8.3,11.8,16.2,13.1,16.7,8.3,9.0,"69,970",509,"95,430",592
2003,"112,000",100,8.1,8.7,8.1,11.6,16.4,12.6,16.8,8.6,9.0,"70,080",500,"95,560",575
2002,"111,300",100,8.1,8.6,8.1,11.8,16.4,12.9,17.1,8.5,8.6,"70,040",378,"95,540",590
2001,"109,300",100,7.6,8.2,8.4,11.2,17.0,12.9,17.3,8.5,8.9,"70,610",355,"97,330",638
2000 10,"108,200",100,7.4,8.2,8.0,11.4,16.8,13.2,17.6,8.3,9.1,"71,790",371,"97,690",633
